"Time (UTCG)","Detic Latitude (deg)","Detic Longitude (deg)","Detic Altitude (km)"
1 Jan 2020 00:08:45.850,29.787,-85.489,455.245927
1 Jan 2020 00:08:55.000,30.288,-85.173,455.407414
1 Jan 2020 00:09:05.000,30.835,-84.824,455.585377
1 Jan 2020 00:09:15.000,31.380,-84.471,455.764793
1 Jan 2020 00:09:25.000,31.924,-84.113,455.945570
1 Jan 2020 00:09:35.000,32.467,-83.750,456.127619
1 Jan 2020 00:09:45.000,33.008,-83.382,456.310848
1 Jan 2020 00:09:55.000,33.548,-83.010,456.495164
1 Jan 2020 00:10:05.000,34.087,-82.632,456.680476
1 Jan 2020 00:10:15.000,34.624,-82.249,456.866691
1 Jan 2020 00:10:25.000,35.159,-81.860,457.053714
1 Jan 2020 00:10:35.000,35.693,-81.466,457.241452
1 Jan 2020 00:10:45.000,36.226,-81.066,457.429812
1 Jan 2020 00:10:55.000,36.756,-80.660,457.618698
1 Jan 2020 00:11:05.000,37.285,-80.248,457.808016
1 Jan 2020 00:11:15.000,37.812,-79.829,457.997671
1 Jan 2020 00:11:25.000,38.337,-79.404,458.187568
1 Jan 2020 00:11:35.000,38.860,-78.972,458.377612
1 Jan 2020 00:11:45.000,39.381,-78.533,458.567708
1 Jan 2020 00:11:55.000,39.900,-78.087,458.757760
1 Jan 2020 00:12:05.000,40.417,-77.634,458.947674
1 Jan 2020 00:12:15.000,40.932,-77.173,459.137355
1 Jan 2020 00:12:25.000,41.444,-76.704,459.326707
1 Jan 2020 00:12:35.000,41.954,-76.227,459.515636
1 Jan 2020 00:12:45.000,42.462,-75.742,459.704048
1 Jan 2020 00:12:55.000,42.967,-75.248,459.891848
1 Jan 2020 00:13:05.000,43.469,-74.745,460.078942
1 Jan 2020 00:13:15.000,43.969,-74.234,460.265238
1 Jan 2020 00:13:25.000,44.466,-73.713,460.450641
1 Jan 2020 00:13:35.000,44.960,-73.182,460.635060
1 Jan 2020 00:13:36.068,45.013,-73.125,460.654696
1 Jan 2020 01:42:57.759,31.716,-107.948,455.876284
1 Jan 2020 01:43:07.000,32.218,-107.615,456.044033
1 Jan 2020 01:43:17.000,32.760,-107.250,456.226734
1 Jan 2020 01:43:27.000,33.301,-106.879,456.410565
1 Jan 2020 01:43:37.000,33.840,-106.504,456.595433
1 Jan 2020 01:43:47.000,34.378,-106.123,456.781247
1 Jan 2020 01:43:57.000,34.914,-105.737,456.967912
1 Jan 2020 01:44:07.000,35.449,-105.346,457.155336
1 Jan 2020 01:44:17.000,35.982,-104.949,457.343423
1 Jan 2020 01:44:27.000,36.513,-104.545,457.532081
1 Jan 2020 01:44:37.000,37.043,-104.136,457.721214
1 Jan 2020 01:44:47.000,37.570,-103.720,457.910728
1 Jan 2020 01:44:57.000,38.096,-103.298,458.100527
1 Jan 2020 01:45:07.000,38.620,-102.869,458.290517
1 Jan 2020 01:45:17.000,39.142,-102.434,458.480603
1 Jan 2020 01:45:27.000,39.662,-101.991,458.670688
1 Jan 2020 01:45:37.000,40.180,-101.541,458.860679
1 Jan 2020 01:45:47.000,40.696,-101.083,459.050480
1 Jan 2020 01:45:57.000,41.209,-100.618,459.239996
1 Jan 2020 01:46:07.000,41.721,-100.145,459.429133
1 Jan 2020 01:46:17.000,42.229,-99.664,459.617795
1 Jan 2020 01:46:27.000,42.736,-99.174,459.805888
1 Jan 2020 01:46:37.000,43.239,-98.675,459.993319
1 Jan 2020 01:46:47.000,43.740,-98.168,460.179994
